leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
4,15,9,-9,-3,12,-11,-30,-30,-14,2,6
-12,3,15,5,-13,9,-14,-51,-62,-44,-24,-15
-25,-9,15,18,-20,3,-16,-67,-86,-66,-45,-33
-31,-18,12,25,-21,-3,-17,-76,-100,-79,-58,-46
-30,-22,7,26,-19,-7,-17,-79,-106,-86,-66,-53
-30,-27,3,28,-17,-12,-18,-79,-109,-90,-70,-58
-32,-33,0,33,-17,-17,-19,-78,-109,-92,-73,-62
-36,-39,-3,38,-17,-21,-20,-75,-106,-91,-74,-63
-37,-43,-5,40,-17,-24,-19,-70,-101,-87,-72,-63
-34,-43,-9,39,-13,-26,-16,-61,-92,-80,-67,-60
-29,-44,-14,37,-8,-28,-12,-49,-80,-70,-60,-54
-25,-43,-17,34,-4,-29,-8,-37,-68,-60,-51,-48
-22,-41,-18,31,-2,-29,-5,-27,-57,-50,-43,-42
-18,-35,-17,27,-1,-26,-3,-19,-47,-41,-35,-35
-15,-28,-13,21,-1,-21,-2,-13,-40,-33,-28,-29
-13,-21,-8,17,-2,-15,-2,-10,-34,-27,-23,-24
-12,-16,-5,14,-3,-11,-2,-8,-31,-23,-20,-21
-10,-13,-3,12,-3,-8,-1,-6,-28,-20,-17,-18
-10,-12,-1,11,-4,-6,0,-3,-25,-16,-14,-15
-12,-11,1,12,-7,-4,2,0,-22,-13,-11,-12
-12,-8,3,10,-8,-2,3,2,-19,-10,-8,-10
-10,-7,3,9,-7,-1,4,4,-18,-8,-7,-9
-10,-7,2,9,-7,-2,3,4,-17,-8,-6,-9
-11,-9,1,10,-6,-4,2,4,-18,-8,-7,-9
-10,-10,0,10,-6,-5,2,4,-18,-8,-7,-10
-8,-8,0,8,-4,-5,2,4,-17,-8,-7,-9
-3,-4,0,4,-2,-2,3,5,-16,-7,-6,-8
-2,-2,1,2,-2,0,4,6,-15,-6,-6,-8
-4,-2,2,3,-3,0,4,7,-14,-5,-5,-7
-6,-4,2,4,-4,0,3,7,-14,-5,-5,-7
-7,-6,1,5,-4,-1,2,7,-14,-5,-5,-7
-7,-7,0,6,-4,-2,2,8,-14,-5,-5,-7
-5,-6,0,5,-3,-2,2,9,-13,-4,-4,-6
-4,-4,0,4,-2,-1,3,9,-13,-3,-4,-5
-4,-4,0,4,-2,-1,2,9,-13,-4,-4,-5
-5,-4,1,5,-3,-1,2,9,-13,-4,-4,-6
-6,-5,1,6,-3,-1,1,8,-13,-4,-5,-7
-6,-5,0,6,-3,-2,1,8,-14,-5,-5,-8
-6,-5,0,6,-3,-2,1,9,-14,-5,-5,-8
-6,-4,0,5,-3,-2,1,10,-13,-4,-4,-7
-5,-4,1,5,-3,-1,2,11,-12,-3,-4,-6
-6,-4,2,5,-4,-1,1,11,-13,-4,-4,-6
-9,-6,2,8,-6,-2,1,10,-13,-5,-5,-7
-10,-9,1,10,-6,-3,0,10,-14,-5,-5,-7
-8,-8,0,8,-5,-3,0,9,-14,-5,-6,-7
-4,-5,0,5,-3,-2,0,9,-14,-5,-6,-7
-3,-3,0,3,-2,-2,0,10,-14,-4,-5,-7
-6,-4,1,5,-4,-2,1,10,-13,-3,-5,-6
-8,-6,1,7,-5,-2,0,10,-13,-3,-5,-6
-8,-7,1,8,-5,-3,0,10,-13,-3,-5,-7
-6,-4,1,6,-4,-1,0,11,-12,-3,-4,-6
-4,-1,2,3,-3,0,1,12,-11,-2,-3,-6
-4,-2,1,3,-3,0,2,12,-11,-2,-3,-6
-5,-3,1,4,-3,-1,2,12,-11,-2,-3,-6
-5,-3,2,4,-3,0,2,12,-11,-1,-3,-5
-5,-2,2,3,-3,0,2,12,-11,-1,-3,-5
-4,-2,1,2,-2,0,2,12,-11,-1,-3,-5
-3,-2,1,2,-2,0,2,12,-10,-1,-3,-5
-2,-1,1,1,-1,0,2,13,-10,-1,-2,-5
1,2,1,-1,0,1,2,13,-10,0,-2,-4
1,3,1,-2,0,2,2,13,-10,0,-1,-4
-2,1,2,1,-3,1,2,13,-11,0,-2,-4
-6,-2,3,4,-5,0,1,11,-12,-1,-3,-5
-11,-6,3,8,-8,0,0,10,-12,-2,-4,-6
-13,-8,3,10,-9,-1,0,10,-12,-2,-4,-6
-10,-6,3,8,-7,0,0,11,-12,-1,-3,-5
-6,-3,3,5,-5,1,0,11,-11,-1,-3,-5
-7,-3,4,5,-6,1,0,11,-12,-1,-3,-5
-8,-4,4,7,-7,0,0,10,-12,-2,-4,-6
-8,-3,5,6,-7,0,0,11,-12,-1,-3,-5
-7,-1,5,4,-7,2,0,12,-11,0,-2,-4
-5,0,5,3,-6,2,1,12,-10,0,-2,-3
-3,1,3,1,-4,2,1,12,-10,0,-1,-3
-2,1,3,0,-3,3,1,12,-9,1,-1,-2
-1,2,4,0,-3,3,1,12,-9,1,-1,-2
-1,3,5,0,-3,4,0,11,-10,0,-1,-2
-1,4,6,-1,-3,4,0,11,-10,0,-1,-2
1,5,5,-2,-2,5,0,11,-9,0,0,-1
2,6,5,-3,-2,5,1,11,-8,1,0,0
0,6,6,-2,-4,6,2,12,-7,2,1,0
-3,6,9,-1,-6,7,2,12,-7,3,2,1
-4,7,10,-1,-7,8,2,12,-7,3,2,1
-2,8,10,-2,-6,8,2,12,-7,3,2,1
-1,9,10,-3,-5,8,2,12,-7,3,2,2
-2,8,10,-2,-6,8,2,11,-7,3,2,2
-4,7,11,-1,-7,8,2,10,-7,2,2,2
-3,7,10,-1,-6,8,1,10,-8,2,2,2
-2,7,9,-2,-5,8,1,10,-8,2,2,2
-3,7,9,-2,-5,8,1,11,-8,2,2,2
-4,6,9,-1,-6,8,0,11,-9,1,1,1
-3,6,9,-1,-6,8,0,11,-10,0,0,0
-3,7,10,-2,-6,8,0,11,-10,0,0,0
-3,7,11,-2,-7,9,-1,10,-10,0,0,0
-3,7,11,-2,-8,9,-1,9,-11,-1,0,0
-3,8,11,-3,-8,9,-2,8,-12,-3,-1,-1
-2,9,12,-4,-8,10,-2,7,-13,-3,-1,-1
-1,12,12,-6,-7,12,-2,7,-13,-3,-1,0
1,13,11,-7,-5,12,-1,7,-12,-2,0,0
2,12,9,-7,-4,11,0,7,-11,-2,0,0
2,10,8,-6,-3,9,0,7,-11,-3,-1,0
1,8,7,-4,-3,7,0,7,-11,-3,-1,0
0,7,8,-3,-5,7,0,7,-11,-3,-1,0
-3,7,10,-2,-7,9,0,7,-10,-3,0,0
-5,7,12,-1,-8,9,0,7,-10,-3,0,0
-6,6,12,0,-9,9,0,5,-11,-4,-1,0
-6,7,13,0,-9,9,0,5,-11,-5,-2,0
-6,8,13,-1,-10,10,0,5,-10,-5,-2,0
-4,10,14,-2,-9,11,0,4,-10,-5,-2,0
-3,11,13,-3,-9,11,0,3,-11,-5,-3,0
-2,11,12,-4,-8,11,-1,2,-11,-6,-3,-1
-2,10,12,-3,-8,10,-1,2,-11,-6,-3,-2
-3,9,12,-2,-8,10,-1,2,-11,-6,-3,-1
-3,9,11,-3,-7,10,0,2,-10,-5,-2,-1
-1,9,11,-4,-6,10,0,2,-10,-5,-2,-1
-2,9,11,-3,-6,10,0,2,-10,-6,-3,-1
-5,7,12,-1,-9,9,0,1,-10,-6,-3,-1
-6,5,12,0,-10,8,-1,1,-10,-6,-4,-2
-6,4,10,1,-9,7,-1,0,-10,-7,-4,-2
-7,2,9,2,-8,6,-2,0,-10,-7,-5,-3
-6,3,9,1,-7,6,-2,0,-9,-7,-4,-3
-1,6,8,-3,-5,7,-2,0,-8,-6,-3,-2
0,7,8,-4,-3,7,-2,0,-8,-6,-3,-2
0,6,7,-3,-3,6,-3,0,-8,-6,-4,-3
1,7,7,-4,-3,6,-2,0,-7,-6,-4,-3
2,9,7,-6,-2,8,-1,2,-4,-4,-2,-1
2,9,7,-5,-3,8,0,4,-3,-3,-1,0
1,9,7,-5,-3,8,0,4,-2,-3,-1,0
2,10,8,-5,-3,9,0,4,-2,-2,0,0
0,8,8,-4,-3,8,0,4,-2,-2,0,-1
-1,7,8,-3,-4,7,0,4,-2,-3,-1,-1
0,8,8,-5,-3,8,0,4,-1,-3,-1,-1
2,10,8,-6,-2,9,0,4,0,-2,-1,-1
1,9,8,-5,-3,8,0,5,0,-2,0,-1
0,7,7,-3,-3,7,1,5,1,-1,0,-1
-1,4,7,-1,-4,5,0,4,1,-2,-1,-1
-3,3,7,0,-5,5,0,4,1,-2,-1,-1
-1,4,6,-1,-4,5,1,5,2,-1,0,-1
2,5,4,-4,-1,5,2,6,2,0,0,0
4,6,3,-5,0,4,2,7,3,0,0,0
5,6,1,-6,2,3,2,7,3,0,0,-1
6,5,0,-6,3,2,2,7,3,0,0,-2
5,2,-2,-3,3,0,1,6,2,-1,-2,-3
2,-1,-3,-1,2,-2,0,6,2,-2,-2,-4
2,-2,-3,0,2,-2,0,6,2,-2,-2,-4
2,-1,-2,0,2,-1,1,6,2,-2,-2,-4
1,0,-1,0,1,0,1,6,1,-2,-2,-4
0,0,0,0,0,0,1,6,1,-3,-3,-5
0,0,0,0,-1,0,1,6,0,-3,-4,-5
1,2,1,-2,-1,1,1,6,1,-3,-4,-5
2,4,1,-3,0,2,2,6,1,-3,-4,-5
1,2,1,-2,-1,2,2,6,1,-3,-4,-5
-3,-1,2,1,-3,1,1,6,1,-4,-4,-5
-5,-2,3,3,-4,0,1,5,1,-4,-5,-6
-4,-1,2,3,-3,0,1,6,1,-4,-4,-5
-2,0,1,1,-1,0,2,6,1,-4,-4,-5
-2,-1,0,2,-1,-1,2,7,1,-4,-4,-6
-3,-4,0,4,-1,-3,2,7,1,-4,-5,-6
-4,-5,0,4,-2,-3,2,7,1,-5,-5,-7
-5,-4,1,5,-3,-1,3,8,2,-4,-5,-6
-7,-4,3,5,-5,0,4,9,2,-3,-4,-5
-6,-3,2,5,-4,0,4,9,3,-3,-3,-5
-2,-1,1,2,-1,0,4,9,3,-2,-3,-4
1,1,0,-1,0,0,4,9,2,-2,-3,-4
1,0,0,0,0,0,4,9,2,-3,-3,-5
-1,-2,0,2,0,-2,4,9,2,-3,-4,-5
-3,-3,0,3,-2,-2,4,8,2,-3,-5,-6
-4,-3,1,4,-3,-1,4,9,2,-3,-4,-5
-4,-2,2,3,-3,0,4,9,2,-3,-4,-5
-4,-2,1,3,-2,0,4,9,1,-4,-5,-6
-3,-3,0,3,-1,-2,3,9,0,-5,-6,-7
-4,-4,0,5,-2,-3,2,8,0,-5,-6,-8
-6,-6,0,6,-3,-3,2,8,0,-6,-7,-8
-7,-5,1,6,-4,-3,3,8,0,-5,-6,-8
-3,-2,1,3,-2,-1,4,10,1,-4,-5,-7
0,1,1,0,-1,1,6,11,2,-2,-3,-5
0,2,2,0,-1,2,6,12,2,-1,-2,-4
1,3,2,-2,-1,3,7,13,3,-1,-1,-3
4,6,2,-4,0,4,7,14,3,0,-1,-3
4,7,3,-5,0,5,6,14,3,0,-1,-3
2,6,4,-4,0,5,6,14,4,0,-1,-3
2,6,4,-4,-1,5,6,14,4,1,0,-2
3,8,5,-5,-1,6,6,15,5,1,0,-2
3,9,5,-6,-1,7,6,16,5,2,0,-1
3,8,6,-5,-2,7,5,16,5,2,1,-1
3,8,6,-5,-2,7,5,16,5,2,1,-1
4,10,7,-7,-2,8,5,17,6,3,2,0
2,12,10,-7,-3,10,7,19,8,5,3,2
1,11,11,-6,-5,10,7,20,9,7,4,3
2,12,10,-7,-4,10,8,21,9,7,5,3
5,15,9,-10,-2,11,8,22,10,8,5,4
6,15,9,-10,-2,12,9,23,11,9,6,4
5,15,9,-10,-2,12,9,24,12,10,7,5
6,15,9,-11,-1,12,9,24,12,10,7,5
9,16,7,-12,0,12,8,24,12,10,7,5
10,16,5,-13,2,11,6,23,11,9,7,5
13,16,4,-15,4,10,5,22,11,9,7,5
15,17,1,-16,7,9,4,21,11,9,8,5
17,16,-1,-16,9,7,2,19,11,9,8,6
17,14,-3,-15,10,5,0,18,10,9,9,6
17,12,-4,-14,10,3,-1,17,10,9,9,7
13,9,-4,-10,8,2,-3,15,9,8,8,6
11,7,-4,-8,7,1,-3,14,8,7,7,5
13,8,-6,-10,10,1,-3,13,7,7,7,5
13,8,-6,-10,10,1,-3,12,6,7,6,5
9,6,-3,-7,7,1,-2,11,5,5,5,4
6,5,-1,-5,3,2,-2,11,5,5,5,4
8,7,-1,-7,4,3,-1,11,5,5,5,4
12,8,-3,-10,7,2,-1,11,4,4,4,4
14,7,-6,-10,9,0,-1,10,3,3,3,2
13,6,-7,-10,9,0,-1,9,3,2,2,1
10,4,-6,-7,8,-1,-1,8,2,2,1,0
7,3,-4,-5,6,-1,0,8,2,2,1,0
7,4,-3,-6,6,0,0,9,2,2,1,0
9,5,-4,-7,6,0,1,10,2,2,1,0
10,4,-5,-7,7,-1,1,9,1,1,0,-1
10,2,-7,-5,8,-3,1,8,0,0,-1,-2
9,0,-8,-4,8,-4,1,8,1,0,-1,-2
7,0,-7,-3,6,-4,3,9,2,0,0,-1
4,-1,-5,-1,4,-3,3,9,2,1,1,-1
2,-1,-5,-1,4,-3,3,9,2,1,1,-1
2,0,-4,-1,4,-2,4,10,2,1,1,-1
1,0,-2,0,2,-2,5,11,2,1,1,-1
0,-1,-1,0,1,-1,5,11,1,0,0,-2
-1,-3,0,2,-1,-1,5,10,0,-2,-2,-4
-4,-4,0,5,-3,-2,5,9,-1,-3,-3,-5
-6,-6,1,7,-4,-2,5,9,-1,-4,-4,-6
-8,-8,0,8,-4,-3,5,8,-2,-5,-5,-7
-8,-9,-1,9,-3,-4,4,7,-3,-6,-6,-8
-8,-9,-1,8,-2,-5,4,7,-4,-7,-7,-9
-6,-8,-2,7,-1,-5,4,7,-5,-7,-8,-9
-4,-6,-1,5,-1,-4,6,8,-4,-6,-7,-8
-4,-5,0,4,-2,-3,7,8,-4,-6,-6,-8
-4,-4,0,4,-2,-3,7,8,-4,-6,-6,-8
-4,-4,0,4,-2,-3,7,8,-4,-5,-6,-8
-4,-4,0,4,-2,-2,7,9,-3,-5,-5,-7
-4,-5,0,5,-2,-3,7,9,-3,-4,-5,-7
-6,-7,0,6,-3,-3,7,9,-3,-4,-6,-7
-6,-7,1,6,-3,-3,8,10,-3,-4,-6,-7
-6,-6,0,6,-3,-3,8,10,-3,-4,-6,-7
-7,-6,0,7,-4,-3,7,9,-3,-5,-6,-8
-6,-5,1,6,-4,-2,7,8,-3,-5,-7,-8
-5,-3,2,5,-4,-1,7,8,-3,-5,-7,-8
-4,-2,2,4,-3,0,7,8,-3,-5,-7,-8
-3,-3,1,4,-2,-1,7,8,-3,-5,-7,-8
-2,-4,0,3,-1,-2,7,8,-3,-5,-7,-8
-2,-4,-1,3,0,-2,7,8,-3,-6,-7,-8
-2,-4,-1,3,0,-2,7,8,-3,-6,-7,-8
-3,-5,0,4,-1,-2,7,8,-3,-6,-7,-8
-5,-5,1,5,-3,-1,7,8,-3,-6,-7,-9
-7,-5,2,6,-5,-1,6,7,-4,-6,-7,-9
-5,-4,1,5,-3,-1,6,6,-5,-7,-8,-10
0,-2,0,1,0,-1,6,6,-5,-7,-9,-10
1,-1,-1,0,1,-1,7,7,-5,-7,-8,-10
-1,-2,0,1,-1,-1,7,7,-4,-6,-8,-9
-3,-2,2,2,-2,0,8,8,-4,-6,-7,-9
-1,0,2,0,-1,1,8,9,-3,-5,-6,-8
-1,1,2,0,-1,2,8,9,-2,-4,-6,-8
-1,1,2,0,-2,1,8,9,-2,-3,-6,-7
0,1,2,0,-1,1,9,10,-2,-3,-6,-7
0,1,2,0,-1,1,10,11,-2,-3,-6,-7
-1,0,2,0,-2,1,11,11,-2,-3,-6,-8
-3,0,4,1,-3,2,11,12,-1,-3,-6,-8
-3,1,4,0,-4,3,12,13,1,-1,-5,-7
-2,2,4,0,-3,3,12,15,4,2,-2,-4
-1,1,2,0,-2,2,12,17,8,5,1,-2
0,0,0,0,0,0,11,20,12,9,4,0
7,1,-5,-4,6,-2,11,25,21,17,11,5
17,4,-12,-10,14,-3,11,34,33,28,21,14
29,7,-20,-18,25,-6,12,43,49,43,35,25
42,9,-30,-25,36,-9,12,52,66,59,50,38
52,11,-40,-32,46,-13,10,60,83,75,66,51
60,13,-46,-37,54,-16,8,66,99,91,82,65
69,18,-50,-44,60,-16,6,69,113,106,97,78
75,24,-51,-49,63,-14,3,70,123,116,109,89
76,30,-46,-52,61,-8,1,65,123,118,114,94
70,36,-34,-53,52,1,2,56,111,108,106,90
58,37,-20,-48,39,8,4,40,85,83,84,72
39,29,-9,-35,24,10,1,15,48,46,51,46
17,18,1,-18,8,10,-3,-12,7,8,17,18
-3,8,11,-3,-6,10,-7,-37,-29,-25,-12,-6
-18,-1,16,9,-17,8,-8,-56,-58,-50,-35,-26
-26,-9,16,17,-21,4,-9,-69,-77,-68,-52,-41
-30,-16,13,23,-21,-2,-10,-76,-89,-79,-63,-51
-32,-23,9,27,-21,-8,-12,-81,-96,-86,-71,-59
-35,-30,6,32,-21,-13,-14,-82,-99,-90,-75,-63
-39,-36,4,37,-22,-16,-14,-80,-98,-90,-76,-65
-39,-40,1,39,-20,-20,-14,-77,-94,-87,-75,-65
-37,-42,-4,39,-16,-23,-12,-70,-88,-82,-72,-63
-34,-42,-8,38,-12,-25,-8,-60,-78,-75,-66,-60
-30,-40,-11,35,-9,-26,-4,-48,-66,-66,-60,-55
-24,-38,-14,31,-5,-26,-1,-36,-54,-56,-52,-49
-18,-34,-15,26,-2,-25,1,-26,-43,-47,-44,-42
-13,-29,-15,21,0,-23,2,-20,-35,-38,-37,-36
-9,-24,-13,16,2,-19,3,-15,-28,-30,-30,-29
-4,-16,-10,10,2,-13,5,-10,-21,-23,-23,-23
-3,-10,-6,6,1,-7,7,-7,-16,-17,-18,-18
-3,-7,-3,5,0,-4,8,-5,-13,-14,-15,-15
-3,-6,-3,5,0,-4,9,-3,-11,-12,-14,-14
-3,-5,-2,4,0,-3,9,-2,-10,-10,-13,-13
-1,-3,-1,2,0,-2,10,0,-8,-9,-11,-12
2,0,-1,-1,1,-1,10,0,-7,-7,-10,-10
4,3,0,-4,2,0,11,1,-5,-5,-8,-9
5,4,0,-5,2,2,12,2,-3,-3,-6,-7
4,4,0,-4,2,2,12,2,-3,-2,-6,-7
1,1,0,-1,1,1,11,1,-4,-3,-7,-9
-3,-2,1,3,-1,0,9,0,-5,-5,-9,-10
-7,-5,1,6,-3,-1,9,0,-5,-5,-9,-11
-6,-6,0,6,-3,-3,9,0,-5,-5,-9,-11
-3,-6,-1,4,-1,-4,9,0,-5,-5,-8,-10
-1,-6,-2,3,0,-4,8,0,-5,-5,-8,-10
-1,-6,-3,2,0,-4,8,1,-5,-4,-8,-9
-2,-6,-2,3,0,-4,8,1,-4,-3,-7,-8
-5,-7,-1,6,-1,-4,8,0,-4,-4,-8,-9
-7,-8,-2,8,-2,-5,7,0,-5,-5,-8,-9
-5,-7,-2,6,-1,-4,7,0,-5,-5,-8,-10
-4,-5,-2,5,0,-4,7,0,-5,-5,-8,-10
-6,-7,0,6,-2,-4,6,1,-5,-5,-8,-10
-7,-7,1,7,-4,-3,6,1,-5,-5,-8,-10
-6,-6,2,6,-4,-2,6,1,-4,-4,-8,-9
-6,-5,2,5,-4,-1,6,2,-4,-3,-7,-8
-6,-4,2,5,-4,-1,7,2,-4,-3,-7,-8
-5,-4,1,5,-2,-1,7,1,-4,-4,-7,-9
-4,-4,0,4,-1,-2,6,0,-5,-5,-8,-9
-4,-3,0,3,-1,-1,6,1,-5,-5,-8,-9
-3,-2,0,2,-1,-1,6,2,-5,-5,-7,-9
-3,-3,1,2,-1,-1,6,2,-5,-5,-8,-9
-4,-4,1,4,-2,-2,6,1,-6,-5,-8,-9
-4,-5,0,4,-2,-2,6,1,-5,-4,-7,-8
-3,-4,0,3,-1,-2,6,2,-4,-4,-6,-8
-2,-3,0,3,0,-2,6,2,-4,-3,-6,-7
-1,-2,0,2,0,-1,7,3,-3,-3,-5,-7
-2,-2,0,2,0,-1,7,3,-3,-3,-5,-7
-6,-4,0,5,-2,-2,7,3,-3,-3,-5,-7
-7,-6,0,6,-3,-3,7,3,-3,-3,-5,-7
-3,-4,0,3,-1,-2,7,4,-3,-2,-4,-6
0,-2,0,0,0,-1,8,4,-3,-2,-4,-6
0,-1,0,1,0,0,8,4,-3,-2,-4,-6
0,0,1,0,0,0,8,4,-2,-2,-4,-5
1,2,1,-1,0,2,8,5,-2,-1,-3,-5
1,3,2,-1,0,2,8,4,-1,-1,-3,-5
-2,0,3,1,-2,1,8,4,-1,-1,-3,-5
-5,-2,2,3,-3,0,8,4,-1,-1,-3,-4
-4,-3,2,3,-3,0,9,5,-1,0,-2,-3
-4,-3,2,3,-3,0,8,5,-1,0,-2,-3
-6,-5,2,5,-4,-1,7,3,-2,-2,-3,-4
-5,-6,1,5,-3,-2,5,2,-3,-3,-4,-5
-3,-3,0,3,-1,-1,5,3,-3,-2,-4,-4
0,0,0,0,0,0,6,3,-1,-1,-3,-3
0,2,0,-1,0,1,6,4,-1,-1,-2,-3
3,6,1,-4,1,3,7,4,0,0,-2,-2
6,9,1,-7,2,5,7,5,0,0,-1,-2
5,7,2,-6,1,4,7,4,0,0,-1,-2
1,5,4,-3,-2,4,6,3,0,0,-2,-2
-1,4,6,-1,-3,5,6,3,-1,0,-2,-2
0,4,5,-2,-2,5,5,3,-1,0,-1,-2
1,5,4,-3,0,5,5,3,0,0,-1,-1
2,5,2,-3,0,4,5,3,0,0,0,0
0,4,2,-2,0,3,5,3,0,1,0,0
-1,3,3,-1,-2,3,5,3,0,1,0,0
0,4,4,-3,-2,4,5,3,0,1,0,1
3,6,3,-5,0,4,5,2,0,0,0,0
3,5,3,-5,0,4,4,1,0,0,0,0
1,5,4,-3,-1,4,5,1,0,1,0,0
2,6,4,-4,-1,5,5,1,0,1,0,1
3,7,4,-5,-1,6,5,1,0,1,1,2
1,7,5,-4,-2,7,5,1,0,1,0,1
-1,6,6,-3,-4,7,4,1,-1,0,0,1
0,7,7,-3,-4,7,4,0,-1,0,0,1
1,9,7,-5,-3,8,4,0,-1,0,0,1
5,12,7,-8,-1,10,4,0,-1,1,1,2
7,14,7,-10,0,11,4,1,0,2,1,3
5,12,8,-8,-2,11,4,0,0,2,1,3
1,10,10,-5,-4,10,4,0,0,2,1,3
0,11,9,-5,-4,10,5,0,0,2,2,3
2,11,8,-7,-3,10,5,0,0,2,2,4
1,10,8,-6,-4,10,4,0,-1,1,1,3
-1,8,9,-4,-6,9,3,-1,-2,0,0,2
-1,8,10,-4,-6,10,2,-3,-4,-1,0,2
0,11,11,-6,-6,12,2,-3,-4,-1,0,2
3,15,11,-9,-4,13,3,-2,-3,0,1,4
4,15,11,-10,-3,13,3,-2,-2,0,2,4
3,14,9,-9,-3,12,2,-2,-3,0,1,4
3,13,8,-8,-2,11,2,-3,-3,0,1,3
2,12,9,-7,-4,11,2,-3,-3,0,1,3
1,13,11,-7,-5,12,2,-3,-3,0,1,3
1,13,12,-8,-5,13,2,-3,-4,0,1,3
3,13,11,-8,-4,12,2,-3,-4,0,0,2
3,12,10,-7,-3,11,1,-4,-5,-1,0,2
0,9,9,-4,-4,10,1,-5,-5,-1,-1,1
-2,7,9,-2,-5,9,0,-5,-6,-1,-1,1
-3,7,10,-2,-6,9,1,-5,-5,-1,0,1
-2,9,10,-3,-6,10,1,-5,-5,-1,0,2
-1,9,9,-4,-5,10,1,-5,-5,-1,0,2
1,9,7,-5,-3,9,0,-6,-5,-1,0,2
2,8,6,-5,-2,8,0,-6,-5,-1,0,2
1,7,6,-4,-2,7,0,-6,-5,-1,0,2
-1,4,6,-1,-4,6,0,-7,-6,-2,0,1
-3,4,7,0,-5,7,0,-8,-6,-2,-1,1
-2,6,8,-2,-4,8,0,-7,-6,-1,0,2
1,10,8,-6,-3,9,1,-5,-4,0,1,4
5,14,8,-10,-1,11,1,-4,-3,1,1,4
6,13,7,-10,-1,10,1,-4,-3,0,0,4
3,9,6,-6,-2,7,0,-5,-4,0,0,2
3,7,5,-5,-2,6,0,-5,-3,0,0,2
4,8,5,-5,-1,7,1,-4,-1,1,1,3
3,8,5,-5,-1,7,1,-4,-1,1,1,2
2,8,5,-4,-2,7,1,-4,-2,1,0,2
2,9,5,-5,-2,8,1,-3,-1,1,0,2
2,9,5,-6,-1,7,1,-3,-1,1,0,2
4,9,4,-6,0,6,1,-3,-1,1,0,2
4,7,3,-6,0,5,0,-4,-1,1,0,2
3,5,2,-4,0,3,0,-4,-1,1,0,2
2,4,3,-3,0,4,0,-4,-1,1,0,2
1,5,4,-3,-1,5,0,-3,0,1,0,2
0,3,3,-1,-1,4,0,-3,0,0,0,1
0,0,0,0,0,1,0,-4,-1,0,-1,0
1,0,-2,0,1,-1,-1,-4,-1,-1,-2,-1
2,0,-2,-1,2,-1,-1,-4,0,-1,-2,-1
3,1,-2,-2,2,-1,0,-3,0,0,-1,-1
3,2,-1,-2,2,0,0,-2,1,0,-1,0
2,1,0,-1,1,0,0,-2,1,0,-1,0
1,0,0,0,1,0,1,-3,1,0,-1,0
1,0,-1,0,2,0,1,-3,1,0,-1,0
0,-1,-2,0,2,-1,0,-4,0,0,-2,0
0,-1,-2,0,1,-1,-1,-5,-1,-1,-3,-1
1,1,0,-1,0,0,-1,-5,-1,-1,-3,-1
1,3,1,-2,-1,2,0,-4,0,0,-2,-1
0,2,2,-1,-2,2,0,-4,0,0,-2,-1
0,1,3,0,-2,2,0,-4,0,-1,-3,-2
-1,1,2,1,-2,2,0,-4,0,-1,-3,-2
0,1,1,0,-1,1,0,-4,0,-1,-3,-2
1,2,0,0,0,1,0,-4,0,-1,-3,-2
0,1,0,0,0,1,0,-4,0,0,-2,-1
-2,-1,0,1,-2,0,0,-3,1,0,-2,-1
-4,-4,0,4,-3,-1,0,-4,0,0,-2,-1
-4,-5,-1,4,-1,-3,0,-4,0,-1,-3,-2
-2,-5,-2,4,0,-3,0,-4,0,-1,-4,-3
-1,-5,-2,3,1,-3,0,-4,0,-1,-4,-3
-1,-5,-2,3,1,-3,-1,-4,0,-1,-4,-3
-2,-4,-2,3,0,-3,-1,-4,0,-1,-4,-3
-3,-3,0,3,-1,-2,-1,-4,-1,-1,-4,-3
-4,-3,0,3,-2,-1,-1,-4,-1,-2,-5,-4
-4,-2,1,3,-2,-1,-1,-4,-1,-2,-5,-4
-2,0,1,1,-1,0,0,-2,0,-1,-5,-3
0,3,2,-1,0,2,1,-1,0,-1,-4,-3
1,3,2,-1,0,3,1,-1,0,-1,-4,-3
-1,0,1,1,-1,1,0,-1,0,0,-4,-3
-2,-1,1,2,-2,1,0,-1,1,0,-4,-2
-3,-1,1,2,-2,0,0,0,2,0,-3,-1
-3,-1,1,2,-2,0,0,0,2,0,-3,-1
-3,-1,1,2,-2,0,0,-1,2,0,-3,-1
-4,-2,2,2,-3,0,-1,-2,1,-1,-3,-2
-5,-2,2,3,-4,0,-2,-3,0,-2,-4,-3
-6,-2,3,4,-5,0,-2,-3,0,-2,-4,-3
-6,-2,4,4,-5,0,-2,-2,1,-1,-4,-2
-4,0,3,3,-4,1,-1,0,2,0,-3,-1
-1,2,3,0,-2,2,-1,0,3,1,-2,0
0,4,3,-1,-1,2,0,1,4,2,-2,0
0,4,4,-1,-2,3,0,2,5,3,-1,0
-1,5,6,-1,-3,5,0,3,6,3,-1,1
0,6,6,-2,-3,6,0,4,7,5,0,2
1,7,6,-3,-2,6,0,5,9,6,1,3
3,7,5,-4,-1,6,0,6,10,7,3,4
5,9,4,-6,0,7,0,7,11,8,4,5
6,11,5,-8,0,8,0,8,12,9,5,6
6,13,6,-9,0,10,1,9,13,10,6,7
5,14,7,-10,0,11,1,10,13,11,6,8
6,14,6,-11,0,11,1,10,14,11,7,8
